Problem Size,Sim Anneal
0,0
20,2068.8848
40,4118.121
60,6673.285
80,9755.883
100,13050.935
120,16588.617
140,20427.453
160,24422.285
180,28542.03
200,32694.307
220,37231.37
240,41272.266
260,45771.49
280,50199.926
300,54965.434
320,59548.89
340,64400.395
360,68826.41
380,73599.26
400,78025.12
420,83117.6
440,87854.09
460,92496.52
480,97410.57
500,102553.06
520,107657.54
540,112608.49
560,117401.8
580,122095.75
600,126910.31
620,132060.88
640,136682.42
660,142137.48
680,146847.62
700,152549.78
720,157044.72
740,162142.22
760,167100.28
780,172492.77
800,177503.8
820,182432.06
840,186792.78
860,192206.66
880,196880.9
900,202426.98
920,207634.02
940,212782.62
960,217636.23
980,222376.3
1000,227934.86
