Problem Size,(1+1) EA,Sim Anneal,MMAS
0,0,0,0
50,11511.152,4180.2783,3018.1626
100,22930.188,10174.702,4260.8843
150,34559.04,18125.87,5204.72
200,46759.92,27517.99,6097.9414
250,57973.996,38763.93,6862.9595
300,70364.35,52502.555,7206.3296
350,82266.67,68783.16,8038.8276
400,94016.18,90541.99,8604.637
450,106622.83,114093.82,9107.35
500,118765.41,130346.01,9459.305
