Problem Size,(1+1) EA,MMAS
0,0,0
10,2327.4434,1471.1234
20,4613.623,1964.3
30,6742.6035,2346.9124
40,9204.523,2672.9485
50,11588.994,2997.5981
60,13986.187,3295.2124
70,16131.329,3539.8843
80,18652.273,3809.4048
90,20763.78,4003.1853
100,23314.375,4225.366
