Problem Size,(1+1) EA,MMAS
0,0,0
10,2306.9944,1447.6719
20,4602.9443,1964.6628
30,6927.0513,2344.9712
40,9071.372,2716.2498
50,11493.137,3016.3716
60,13749.702,3326.73
70,16348.824,3552.125
80,18391.883,3805.7078
90,20916.074,3989.5884
100,23180.562,4196.248
