Problem Size,(1+1) EA,MMAS
0,0,0
10,2278.387,1438.1564
20,4661.2036,1952.886
30,6929.3813,2362.2441
40,9343.69,2719.7097
50,11606.159,3014.7627
60,13725.347,3283.4844
70,16118.241,3574.584
80,18573.828,3779.75
90,20805.875,4041.613
100,23404.592,4282.0605
