Problem Size,(1+1) EA,MMAS
0,0,0
10,2385.2202,1416.0884
20,4608.687,1945.112
30,6811.5073,2382.344
40,9300.954,2808.5706
50,11658.195,3247.6782
60,13817.479,3583.6262
70,16126.906,3897.6191
80,18437.12,4201.55
90,20788.965,4439.5796
100,23483.527,4650.925
