Problem Size,(1+1) EA,MMAS
0,0,0
10,2284.0015,1444.683
20,4658.7505,2000.7634
30,6904.9644,2392.421
40,9256.716,2746.6152
50,11425.242,3008.9229
60,13771.575,3345.4497
70,16203.639,3585.3904
80,18691.846,3803.79
90,20827.475,4052.0618
100,23150.543,4287.3
