Problem Size,(1+1) EA,MMAS
0,0,0
10,2330.4932,1441.8352
20,4636.2305,1952.1998
30,6777.562,2364.045
40,9262.763,2690.74
50,11583.057,3019.021
60,13863.691,3298.434
70,16238.196,3542.9668
80,18728.398,3810.009
90,20967.688,4039.56
100,23361.45,4269.974
